                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5082,                 1.7248,                 1.3967,                0.51222,                0.12617,                0.11092,                0.07079,                 2.1864,                 2.7819,                 2.0269,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.5384,                 1.7071,                  1.398,                0.37848,                0.10701,                0.08233,                0.05061,                 2.2372,                 2.9762,                 2.0682,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5119,                 1.7123,                 1.3936,                0.48476,                0.17743,                0.15729,                0.10749,                  2.022,                  2.846,                 1.7831,              0.0096535,              0.0096535,              0.0096535
                     37,                  1.523,                 1.7274,                  1.399,                0.49521,                0.14545,                0.14982,                0.09138,                 1.9131,                 2.3361,                 1.7308,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.4956,                 1.6301,                  1.371,                0.46292,                0.15334,                0.13376,                 0.0839,                 1.8993,                 2.3396,                 1.6947,              0.0096337,              0.0096337,              0.0096337
                     39,                  1.507,                  1.665,                 1.3716,                0.45282,                0.14949,                0.14556,                0.08784,                 1.9772,                 2.4485,                 1.7839,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.4744,                 1.6054,                 1.3506,                0.45754,                0.20034,                0.17496,                0.11496,                 1.9432,                 2.6626,                 1.8001,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.5206,                 1.6442,                 1.3809,                0.56883,                0.14926,                0.18024,                0.10749,                 1.8915,                 2.4364,                 1.6553,               0.009604,               0.009604,               0.009604
                     42,                 1.4854,                 1.6474,                 1.3842,                0.53267,                0.18763,                0.18339,                0.12123,                 1.8305,                 2.2775,                 1.6866,              0.0095941,              0.0095941,              0.0095941
                     43,                  1.493,                 1.5989,                 1.3645,                0.57231,                0.17922,                0.19651,                0.11518,                 1.8701,                 2.5398,                 1.7431,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.4609,                 1.5769,                 1.3516,                 0.5375,                0.19399,                0.20754,                0.13294,                 1.9678,                 2.6236,                 1.8064,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.4834,                 1.6025,                 1.3623,                0.48052,                0.19602,                0.20821,                0.13564,                 1.7995,                 2.1385,                 1.6336,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.4861,                 1.5755,                 1.3577,                0.55467,                0.19479,                0.21611,                0.13436,                 1.7898,                 2.2789,                 1.6377,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.4974,                 1.5363,                 1.3638,                0.46489,                0.22174,                0.18692,                0.12063,                 1.9407,                 2.6488,                 1.7398,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.4919,                 1.5816,                 1.3751,                0.59624,                 0.1991,                 0.2051,                0.13286,                 1.9134,                 2.5364,                 1.7692,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.4876,                 1.5802,                 1.3591,                0.53235,                0.22172,                0.22928,                0.14398,                 1.9096,                 3.0383,                 1.7875,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4455,                 1.5118,                 1.3387,                 0.4759,                0.20845,                0.20562,                 0.1247,                 1.8392,                 2.5898,                 1.7083,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.4432,                 1.4887,                 1.3375,                 0.4846,                0.22589,                0.22947,                0.14752,                 1.8444,                 2.3733,                 1.6483,               0.009505,               0.009505,               0.009505
                     52,                 1.4526,                 1.4977,                 1.3432,                0.35437,                0.25087,                0.23471,                0.15059,                 1.8565,                 2.2392,                 1.6947,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.4511,                 1.4712,                 1.3332,                0.42333,                0.27935,                0.22339,                0.14642,                 1.7881,                 2.5522,                 1.6711,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.4507,                 1.4641,                 1.3425,                0.56566,                 0.2202,                0.24738,                0.16104,                 1.8069,                 2.4736,                 1.6781,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.4644,                 1.4605,                  1.333,                0.41753,                0.26498,                  0.228,                0.14543,                 1.8645,                 2.1657,                 1.6307,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.4247,                 1.4745,                 1.3374,                0.40753,                0.25049,                0.23926,                0.16055,                 1.8078,                 2.0532,                 1.5938,              0.0094555,              0.0094555,              0.0094555
                     57,                  1.414,                 1.4785,                 1.3314,                0.47632,                0.23915,                0.21093,                0.13037,                 1.9163,                 2.3823,                 1.7368,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.3986,                 1.4404,                 1.3209,                0.52809,                0.27266,                0.26374,                0.15777,                 1.8107,                 2.2047,                 1.6175,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4326,                   1.47,                 1.3484,                0.48296,                0.27725,                0.25458,                0.16169,                 1.8063,                 2.1794,                 1.6094,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4563,                 1.4682,                 1.3445,                0.49802,                0.25512,                0.25015,                0.16348,                 1.7909,                 2.0623,                  1.603,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.4385,                  1.436,                 1.3365,                0.51102,                  0.236,                0.24756,                0.15528,                 1.7889,                 2.2468,                 1.6125,               0.009406,               0.009406,               0.009406
                     62,                 1.4036,                 1.4027,                 1.3039,                0.50291,                0.25352,                0.24977,                0.15639,                 1.7624,                 2.3144,                 1.6057,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.4176,                 1.3845,                 1.3175,                0.51771,                0.23877,                0.24787,                 0.1604,                 1.8573,                 2.6337,                 1.7493,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.4174,                 1.4034,                 1.3269,                0.49305,                0.24724,                0.25351,                0.16738,                 1.7318,                 2.2727,                 1.6425,              0.0093763,              0.0093763,              0.0093763
                     65,                  1.385,                    1.4,                 1.3162,                0.48103,                0.24588,                0.27131,                0.18133,                 1.7183,                 2.0616,                 1.6097,              0.0093664,              0.0093664,              0.0093664
                     66,                  1.388,                 1.4099,                  1.314,                0.49584,                0.29154,                0.30768,                0.18697,                 1.7955,                 1.9361,                 1.6253,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.4118,                 1.4013,                 1.3201,                 0.5785,                0.26563,                0.32004,                0.21449,                 1.7651,                 2.1455,                 1.6058,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.3737,                 1.4075,                 1.3172,                0.60738,                0.25634,                0.32332,                0.22023,                 1.7617,                 2.2596,                 1.6356,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.3844,                 1.3393,                 1.3104,                0.68236,                0.25961,                0.32668,                0.21786,                 1.7209,                 1.9535,                 1.6159,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.3867,                 1.3462,                 1.2973,                0.48853,                0.31174,                 0.3036,                0.20212,                 1.6793,                 1.9843,                 1.5685,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.4039,                 1.3274,                 1.3159,                0.54291,                0.28839,                0.30871,                0.21074,                 1.7198,                 2.0168,                 1.5782,               0.009307,               0.009307,               0.009307
                     72,                 1.3937,                 1.3795,                 1.3171,                0.54833,                0.28089,                0.29985,                0.20367,                    1.8,                 2.0364,                 1.6636,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.3742,                 1.3562,                 1.2986,                0.54542,                0.29134,                 0.3235,                0.21601,                 1.7169,                 2.0176,                 1.5723,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.3782,                 1.3339,                 1.2988,                0.48092,                0.31245,                 0.3219,                0.21006,                 1.7672,                 2.0611,                 1.5928,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.3962,                 1.3253,                 1.3234,                0.52962,                 0.3136,                 0.3346,                 0.2225,                  1.791,                 2.1739,                 1.6098,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.3759,                 1.3286,                 1.2821,                0.50698,                0.32838,                0.33659,                0.22852,                 1.7853,                 1.9214,                 1.6181,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.3382,                 1.2905,                  1.287,                0.48055,                0.34943,                0.33335,                0.22809,                 1.7008,                 1.9898,                  1.571,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.3333,                 1.3069,                  1.277,                 0.5161,                0.29622,                0.33188,                0.22274,                 1.7704,                 1.9408,                 1.6553,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.3582,                  1.234,                 1.2983,                0.57366,                 0.3071,                0.34638,                0.22838,                 1.7071,                  1.859,                  1.576,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.3499,                 1.2611,                 1.2976,                0.56103,                0.30105,                0.32284,                0.21651,                 1.7464,                 1.9593,                 1.6522,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.3671,                 1.2783,                 1.2936,                0.55499,                0.29905,                0.34303,                0.22561,                 1.6836,                 1.8604,                 1.5905,               0.009208,               0.009208,               0.009208
                     82,                 1.3692,                 1.2844,                 1.2899,                0.58005,                 0.2888,                0.34173,                0.22878,                 1.7188,                 1.8282,                 1.5699,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.3789,                 1.2605,                  1.299,                0.53658,                0.31026,                0.34665,                0.24049,                 1.7877,                 2.0789,                 1.6258,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.3672,                 1.2991,                 1.2968,                0.62822,                0.29804,                0.35917,                0.24328,                 1.7324,                 1.9225,                 1.5724,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.3545,                 1.2586,                 1.2958,                0.51901,                0.36056,                0.35186,                0.23911,                 1.7506,                 2.1054,                 1.5988,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.3385,                 1.2524,                 1.2747,                0.43085,                 0.3494,                0.31059,                0.20229,                 1.7604,                 2.0204,                 1.5524,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.3413,                 1.2338,                 1.2668,                  0.434,                0.40038,                0.38199,                0.25221,                 1.6768,                 1.8307,                 1.5337,              0.0091486,              0.0091486,              0.0091486
                     88,                  1.338,                 1.2368,                 1.2634,                0.54372,                0.32241,                0.35127,                0.24037,                 1.7519,                 2.0654,                 1.5609,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.3245,                 1.2307,                 1.2664,                0.39665,                0.40626,                0.37618,                0.26434,                 1.7635,                 1.9026,                 1.5918,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.3198,                  1.222,                 1.2658,                0.52645,                 0.3401,                0.34458,                0.23599,                 1.6787,                 1.8751,                  1.538,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.3226,                 1.2568,                 1.2699,                0.42619,                0.41774,                0.37098,                0.25889,                 1.7574,                 1.8909,                 1.5834,               0.009109,               0.009109,               0.009109
                     92,                   1.33,                 1.2573,                  1.275,                 0.6082,                0.31495,                0.39171,                0.26493,                  1.734,                 1.8837,                 1.5872,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.3387,                 1.2276,                 1.2796,                0.50351,                0.40827,                0.38699,                0.27246,                  1.699,                 1.9071,                  1.561,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.3378,                 1.2393,                 1.2692,                0.60194,                0.31828,                0.37996,                0.26152,                 1.7072,                 1.9434,                 1.5513,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.3241,                 1.2142,                 1.2592,                0.62631,                0.33794,                0.39935,                0.27044,                  1.723,                 2.0042,                 1.6256,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.3128,                 1.2173,                 1.2577,                0.64642,                0.32208,                0.40738,                0.27975,                 1.6821,                 1.7656,                 1.5679,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.3238,                 1.2246,                 1.2744,                0.54803,                0.39437,                0.42773,                0.29727,                 1.6399,                 1.7424,                 1.5833,              0.0090496,              0.0090496,              0.0090496
                     98,                  1.296,                   1.19,                 1.2576,                0.53966,                0.41699,                0.40996,                0.27199,                 1.6603,                 1.8293,                 1.5686,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.3233,                 1.2144,                 1.2613,                0.61391,                0.36474,                0.41879,                0.28997,                  1.647,                 1.8691,                 1.5566,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.3045,                 1.1813,                  1.268,                0.61684,                 0.3347,                0.41122,                0.28566,                  1.645,                 1.8271,                 1.5648,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.3322,                 1.2076,                 1.2642,                0.58539,                0.32338,                0.35806,                0.23724,                 1.7177,                 2.0973,                 1.6238,                0.00901,                0.00901,                0.00901
                    102,                  1.331,                 1.2064,                 1.2517,                0.64314,                0.33179,                0.40492,                0.27361,                 1.7104,                  1.965,                 1.5916,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.3226,                 1.1989,                 1.2665,                0.58896,                0.34821,                0.40425,                0.27845,                 1.6694,                  1.691,                 1.5611,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.3142,                  1.186,                 1.2633,                0.55537,                0.41705,                0.43866,                0.30009,                 1.6886,                 1.8034,                 1.5531,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.3036,                 1.1755,                 1.2501,                 0.4999,                0.42721,                0.43168,                0.29426,                 1.6128,                  1.791,                 1.5044,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.2794,                 1.1695,                 1.2362,                0.63107,                0.36319,                0.43757,                0.31086,                 1.5839,                 1.7494,                 1.5178,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.2591,                 1.1324,                 1.2313,                0.60069,                0.39915,                0.41595,                0.29295,                 1.6516,                 1.7494,                 1.5367,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.2816,                 1.1753,                 1.2373,                0.70328,                0.31367,                0.39878,                0.27853,                  1.633,                 1.7264,                 1.5424,              0.0089407,              0.0089407,              0.0089407
