                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.94612,                 1.1019,                 1.5503,                0.73606,                0.68519,                0.74619,                0.40677,                 1.4362,                 1.3006,                 1.7424,              0.0096733,              0.0096733,              0.0096733
                     35,                0.94751,                 1.0915,                 1.5544,                0.76608,                0.67925,                0.77693,                0.43679,                 1.4133,                 1.2205,                 1.7228,              0.0096634,              0.0096634,              0.0096634
                     36,                0.93148,                 1.0785,                 1.5352,                0.77702,                0.65309,                 0.7654,                0.44275,                 1.4343,                 1.1793,                 1.7432,              0.0096535,              0.0096535,              0.0096535
                     37,                0.94053,                 1.0911,                  1.545,                 0.7578,                0.68519,                0.77604,                0.42911,                  1.464,                 1.2079,                 1.7698,              0.0096436,              0.0096436,              0.0096436
                     38,                0.93987,                 1.0776,                 1.5471,                0.75501,                0.68642,                0.77377,                0.44275,                 1.4464,                 1.1947,                 1.7221,              0.0096337,              0.0096337,              0.0096337
                     39,                 0.9392,                 1.0627,                 1.5426,                0.74977,                0.69914,                0.78322,                0.45795,                 1.3999,                 1.1585,                 1.6881,              0.0096238,              0.0096238,              0.0096238
                     40,                0.93032,                 1.0738,                 1.5409,                0.71722,                 0.7037,                0.76873,                 0.4425,                 1.4214,                  1.194,                 1.7095,              0.0096139,              0.0096139,              0.0096139
                     41,                 0.9326,                 1.0715,                 1.5343,                0.74886,                0.71048,                0.77861,                0.44763,                 1.4065,                 1.1897,                 1.7051,               0.009604,               0.009604,               0.009604
                     42,                0.92863,                 1.0615,                 1.5331,                0.72747,                0.67557,                0.76085,                0.43198,                 1.4048,                 1.2187,                 1.7134,              0.0095941,              0.0095941,              0.0095941
                     43,                0.91104,                 1.0472,                 1.5207,                0.73153,                0.72963,                0.78626,                0.44573,                 1.4166,                 1.1553,                  1.726,              0.0095842,              0.0095842,              0.0095842
                     44,                0.92301,                 1.0506,                 1.5313,                0.74893,                0.69232,                0.76853,                0.45964,                 1.3538,                 1.1659,                 1.6566,              0.0095743,              0.0095743,              0.0095743
                     45,                0.92391,                 1.0479,                 1.5316,                0.80541,                0.68474,                0.79006,                0.45635,                 1.4052,                 1.1363,                 1.7004,              0.0095644,              0.0095644,              0.0095644
                     46,                0.91382,                 1.0399,                 1.5203,                0.77165,                0.72172,                0.78789,                0.45548,                 1.4117,                 1.1129,                 1.7071,              0.0095545,              0.0095545,              0.0095545
                     47,                0.91259,                 1.0515,                 1.5211,                 0.7502,                0.73411,                0.79849,                0.46799,                 1.3544,                 1.1428,                 1.6547,              0.0095446,              0.0095446,              0.0095446
                     48,                0.90859,                 1.0343,                 1.5162,                0.76897,                    0.7,                0.79053,                0.45954,                 1.3696,                 1.1481,                 1.6738,              0.0095347,              0.0095347,              0.0095347
                     49,                0.90298,                 1.0276,                 1.5137,                0.75662,                0.71771,                 0.7988,                0.46228,                 1.3807,                  1.129,                 1.7068,              0.0095248,              0.0095248,              0.0095248
                     50,                0.90634,                  1.032,                  1.518,                 0.7809,                0.68642,                0.79164,                0.46679,                 1.3666,                 1.1242,                 1.6616,              0.0095149,              0.0095149,              0.0095149
                     51,                0.91117,                 1.0199,                 1.5204,                 0.8012,                0.66667,                0.77782,                0.45017,                 1.3674,                 1.1348,                 1.6721,               0.009505,               0.009505,               0.009505
                     52,                0.89964,                  1.008,                  1.508,                0.78295,                0.71255,                0.80769,                0.48182,                 1.3446,                 1.0945,                 1.6391,              0.0094951,              0.0094951,              0.0094951
                     53,                0.90785,                 1.0258,                 1.5173,                0.76678,                0.71975,                0.79964,                0.47647,                 1.3405,                 1.1022,                 1.6545,              0.0094852,              0.0094852,              0.0094852
                     54,                0.90047,                 1.0199,                   1.51,                0.77911,                0.70494,                0.80247,                0.47557,                 1.3581,                 1.1269,                 1.6777,              0.0094753,              0.0094753,              0.0094753
                     55,                0.90362,                 1.0102,                 1.5083,                0.77957,                0.70988,                0.80082,                0.47544,                  1.349,                 1.1256,                 1.6471,              0.0094654,              0.0094654,              0.0094654
                     56,                0.89244,                 0.9958,                 1.4996,                0.76692,                0.73118,                0.80078,                 0.4728,                 1.3735,                 1.0937,                 1.6746,              0.0094555,              0.0094555,              0.0094555
                     57,                0.89434,                  1.018,                 1.5069,                0.76519,                0.69506,                0.79407,                0.47042,                 1.3518,                 1.1141,                 1.6451,              0.0094456,              0.0094456,              0.0094456
                     58,                0.88259,                0.99585,                 1.4991,                 0.7804,                0.71073,                0.79623,                 0.4679,                 1.3489,                 1.1011,                  1.664,              0.0094357,              0.0094357,              0.0094357
                     59,                0.89164,                0.99788,                 1.5044,                0.75571,                0.74444,                0.81005,                0.48366,                 1.3342,                 1.0886,                 1.6335,              0.0094258,              0.0094258,              0.0094258
                     60,                0.90014,                 1.0043,                 1.5062,                 0.7707,                0.73032,                0.80654,                0.48063,                 1.3531,                 1.0868,                 1.6461,              0.0094159,              0.0094159,              0.0094159
                     61,                0.89025,                0.98728,                 1.4985,                0.77552,                0.72505,                0.80788,                0.48673,                 1.3416,                 1.0576,                 1.6486,               0.009406,               0.009406,               0.009406
                     62,                 0.8831,                0.98889,                 1.4976,                0.76371,                0.73827,                0.81037,                0.48482,                 1.3227,                 1.0916,                 1.6374,              0.0093961,              0.0093961,              0.0093961
                     63,                0.89009,                0.98509,                 1.5024,                0.74493,                0.74938,                0.81068,                0.48547,                 1.3208,                 1.0505,                 1.6395,              0.0093862,              0.0093862,              0.0093862
                     64,                0.88093,                0.97564,                 1.4945,                0.79005,                0.75062,                0.81187,                0.48749,                 1.3255,                 1.0696,                 1.6391,              0.0093763,              0.0093763,              0.0093763
                     65,                0.88403,                0.97235,                 1.4955,                0.75666,                 0.7642,                0.80374,                0.48427,                 1.3276,                  1.049,                 1.6396,              0.0093664,              0.0093664,              0.0093664
                     66,                0.87887,                0.97573,                 1.4945,                0.77162,                0.72716,                0.80678,                0.48988,                 1.3272,                 1.0484,                 1.6366,              0.0093565,              0.0093565,              0.0093565
                     67,                  0.888,                0.97886,                 1.5021,                0.77603,                0.72469,                0.81396,                0.48616,                 1.3383,                 1.0664,                 1.6481,              0.0093466,              0.0093466,              0.0093466
                     68,                0.88221,                0.96965,                 1.4938,                0.74295,                0.76049,                 0.8071,                0.48953,                  1.326,                 1.0354,                 1.6332,              0.0093367,              0.0093367,              0.0093367
                     69,                 0.8777,                0.96214,                 1.4913,                0.78099,                0.75283,                0.82405,                0.49942,                 1.3259,                 1.0351,                 1.6278,              0.0093268,              0.0093268,              0.0093268
                     70,                0.87398,                0.95907,                 1.4898,                0.75294,                0.75309,                0.80751,                0.49245,                 1.3194,                 1.0519,                 1.6342,              0.0093169,              0.0093169,              0.0093169
                     71,                0.88033,                0.96785,                 1.4879,                0.76743,                0.74938,                0.81751,                0.49316,                 1.3214,                 1.0481,                 1.6335,               0.009307,               0.009307,               0.009307
                     72,                 0.8857,                0.96734,                 1.4981,                0.78107,                0.72963,                0.81102,                0.48856,                 1.3274,                 1.0564,                 1.6368,              0.0092971,              0.0092971,              0.0092971
                     73,                0.88539,                0.96549,                  1.498,                0.78219,                0.73951,                0.81407,                0.49168,                 1.3153,                 1.0359,                 1.6323,              0.0092872,              0.0092872,              0.0092872
                     74,                0.87912,                0.96737,                 1.4862,                0.72931,                0.79259,                0.81438,                0.49878,                 1.3075,                 1.0144,                 1.6211,              0.0092773,              0.0092773,              0.0092773
                     75,                0.88656,                 0.9708,                 1.4921,                0.77167,                0.75309,                0.81568,                0.49713,                 1.3127,                 1.0123,                 1.6245,              0.0092674,              0.0092674,              0.0092674
                     76,                0.86947,                0.95474,                 1.4849,                0.81012,                0.73827,                0.82595,                0.49667,                 1.3226,                 1.0258,                 1.6349,              0.0092575,              0.0092575,              0.0092575
                     77,                0.86757,                0.95802,                 1.4828,                0.79234,                0.74938,                0.82866,                0.49531,                 1.3296,                 1.0132,                 1.6285,              0.0092476,              0.0092476,              0.0092476
                     78,                0.86614,                0.95017,                 1.4755,                0.81831,                0.74509,                0.83083,                 0.5053,                 1.3044,                 1.0124,                 1.6162,              0.0092377,              0.0092377,              0.0092377
                     79,                0.86648,                0.95559,                 1.4843,                 0.8072,                0.73396,                0.82803,                0.49373,                  1.311,                 1.0062,                  1.607,              0.0092278,              0.0092278,              0.0092278
                     80,                0.87642,                0.94821,                 1.4907,                0.77477,                0.76173,                0.82334,                 0.4974,                 1.3034,                 1.0077,                 1.6081,              0.0092179,              0.0092179,              0.0092179
                     81,                0.85993,                0.94188,                 1.4774,                0.79374,                0.74321,                0.82996,                0.50278,                 1.3037,                0.98651,                 1.6214,               0.009208,               0.009208,               0.009208
                     82,                0.86885,                 0.9541,                 1.4824,                0.80895,                0.73086,                0.82466,                0.49852,                 1.3151,                0.99942,                 1.6307,              0.0091981,              0.0091981,              0.0091981
                     83,                0.86639,                0.94224,                  1.479,                0.81572,                0.75062,                0.83181,                0.50164,                 1.3278,                0.99291,                 1.6303,              0.0091882,              0.0091882,              0.0091882
                     84,                0.87022,                0.95999,                 1.4847,                0.82387,                0.75309,                0.83387,                0.50375,                 1.3266,                 0.9733,                 1.6287,              0.0091783,              0.0091783,              0.0091783
                     85,                0.85272,                0.93281,                 1.4699,                0.80944,                 0.7284,                0.82305,                0.49958,                 1.3268,                0.97093,                 1.6382,              0.0091684,              0.0091684,              0.0091684
                     86,                0.84827,                0.93358,                 1.4701,                0.79937,                0.74568,                0.82787,                0.50512,                 1.3004,                0.98788,                 1.6196,              0.0091585,              0.0091585,              0.0091585
                     87,                0.86138,                0.93148,                 1.4782,                0.78677,                0.76296,                0.82971,                0.50642,                 1.2979,                0.99145,                 1.6199,              0.0091486,              0.0091486,              0.0091486
                     88,                0.86612,                0.92526,                 1.4786,                0.81707,                 0.7358,                 0.8298,                0.50434,                  1.298,                0.98826,                 1.6114,              0.0091387,              0.0091387,              0.0091387
                     89,                0.85962,                 0.9275,                 1.4779,                0.80726,                 0.7446,                0.83296,                0.50756,                 1.2929,                0.96899,                 1.6091,              0.0091288,              0.0091288,              0.0091288
                     90,                0.85825,                0.91633,                  1.473,                 0.8031,                0.74938,                 0.8315,                0.51215,                 1.2916,                0.96568,                 1.5953,              0.0091189,              0.0091189,              0.0091189
                     91,                0.85393,                0.92702,                 1.4734,                0.82031,                 0.7358,                0.83127,                 0.5105,                 1.2867,                0.97069,                 1.6009,               0.009109,               0.009109,               0.009109
                     92,                0.85328,                0.90987,                 1.4676,                0.80655,                 0.7642,                0.83508,                0.51131,                 1.2888,                0.97457,                 1.5992,              0.0090991,              0.0090991,              0.0090991
                     93,                0.85821,                0.92075,                 1.4764,                 0.8087,                0.75556,                0.83665,                0.51306,                 1.2983,                0.97494,                  1.614,              0.0090892,              0.0090892,              0.0090892
                     94,                0.85227,                 0.9217,                 1.4679,                0.79082,                0.76543,                0.83461,                0.51396,                 1.2958,                 0.9793,                 1.6101,              0.0090793,              0.0090793,              0.0090793
                     95,                0.85554,                0.91731,                 1.4699,                0.77733,                0.76667,                0.82654,                0.51105,                 1.3004,                0.98083,                 1.6085,              0.0090694,              0.0090694,              0.0090694
